id,intent,user_input,bot_response,timestamp,confidence_score,conversation_id
1,greeting,hey there,Hey! What's up?,2024-12-11T20:26:33.628383,0.96,1001
2,payment_issue,Payment error purchase,"For the payment issue with purchase, please verify billing address. Then contact your bank.",2024-12-18T03:47:58.628383,0.81,1001
3,technical_support,Help with bluetooth,"I can help with bluetooth. Start by update software, followed by contact support.",2024-12-16T07:26:22.628383,0.87,1001
4,payment_issue,Payment error order,"For the payment issue with order, please verify billing address. Then clear browser cache.",2024-12-04T01:05:04.628383,0.82,1001
5,greeting,hey hey,Hey! What's up?,2024-12-11T21:04:06.628383,0.96,1002
6,product_inquiry,Information about keyboard,keyboard is available. Priced at $365 with gift wrapping.,2024-12-09T10:08:09.628383,0.88,1002
7,payment_issue,Can't pay for service,"For the payment issue with service, please try another payment method. Then clear browser cache.",2024-12-04T06:21:41.628383,0.78,1002
8,goodbye,bye bye,Bye for now!,2024-12-18T10:28:15.628383,0.98,1002
9,order_status,Can you check status of order #47180,Order #47180 is currently processing. Should arrive by end of week.,2024-11-29T20:41:46.628383,0.93,1002
10,greeting,hi!,Hey! What's up?,2024-12-18T07:53:09.628383,0.98,1003
11,payment_issue,Can't pay for purchase,"I'll help with your purchase payment. First try another payment method, then contact your bank.",2024-12-20T20:36:01.628383,0.93,1003
12,technical_support,Issue with app,"For app issues: First clear cache, then reset to defaults.",2024-12-20T19:28:05.628383,0.78,1003
13,greeting,hey there,Hi! How can I help?,2024-12-10T05:07:38.628383,0.97,1004
14,payment_issue,Payment failed for subscription,"I'll help with your subscription payment. First check card details, then contact your bank.",2024-12-06T00:51:04.628383,0.92,1004
15,greeting,hi,Hey! How can I assist you?,2024-12-20T20:59:25.628383,0.96,1005
16,product_inquiry,Price of camera?,We have camera. It costs $291 and comes with 1-year warranty.,2024-12-13T10:48:28.628383,0.91,1005
17,technical_support,How to fix app,"To fix app, try: update software. If that doesn't work, try safe mode.",2024-12-11T03:12:24.628383,0.89,1005
18,greeting,hello!,Hey! How can I assist you?,2024-11-26T06:25:22.628383,0.97,1006
19,payment_issue,Payment failed for purchase,"For the payment issue with purchase, please verify billing address. Then contact your bank.",2024-12-12T09:52:53.628383,0.82,1006
20,goodbye,catch you later,Bye for now!,2024-12-02T09:11:18.628383,0.94,1006
21,greeting,hi there,Hello! How may I help you?,2024-12-07T09:32:33.628383,0.96,1007
22,payment_issue,Payment failed for subscription,"I'll help with your subscription payment. First try another payment method, then contact your bank.",2024-12-02T23:07:11.628383,0.93,1007
23,payment_issue,Payment error subscription,"I'll help with your subscription payment. First check card details, then clear browser cache.",2024-12-18T17:08:06.628383,0.92,1007
24,greeting,hi there,Hi there!,2024-11-30T01:16:20.628383,0.95,1008
25,payment_issue,Problem paying purchase,"To resolve payment for purchase, try check card details. If needed, contact your bank.",2024-12-09T21:54:12.628383,0.84,1008
26,greeting,morning,Hi! How can I help?,2024-12-07T23:38:47.628383,0.96,1008
